fips,year,total_employment,total_wages,avg_annual_wage,data_processing_employment,total_establishments
01001,2010,10694.0,339507223.0,31748.0,,877.0
01001,2011,10627.0,344356024.0,32404.0,,862.0
01001,2012,10137.0,341513497.0,33690.0,,842.0
01001,2013,10193.0,346301954.0,33976.0,,830.0
01001,2014,10458.0,357996403.0,34232.0,,822.0
01001,2015,10587.0,372121908.0,35148.0,,845.0
01001,2016,10739.0,390543141.0,36366.0,,860.0
01001,2017,10823.0,403973438.0,37327.0,,870.0
01001,2018,10974.0,421471042.0,38407.0,,871.0
01001,2019,11107.0,448078198.0,40344.0,,888.0
01001,2020,10794.0,465745049.0,43147.0,,910.0
01001,2021,11123.0,489569075.0,44015.0,,964.0
01001,2022,11535.0,537282230.0,46578.0,6.0,1020.0
01001,2023,11871.0,591550069.0,49832.0,,1073.0
01001,2024,12383.0,629398983.0,50826.0,,1120.0
01003,2010,58140.0,1813332562.0,31189.0,18.0,5171.0
01003,2011,59581.0,1867342552.0,31341.0,18.0,5158.0
01003,2012,60440.0,1926968200.0,31882.0,32.0,5172.0
01003,2013,62719.0,2039249324.0,32514.0,32.0,5247.0
01003,2014,65024.0,2153975449.0,33126.0,,5401.0
01003,2015,67585.0,2289992521.0,33883.0,45.0,5596.0
01003,2016,70107.0,2405999881.0,34319.0,46.0,5822.0
01003,2017,71999.0,2542347527.0,35311.0,46.0,6072.0
01003,2018,74051.0,2724884967.0,36797.0,69.0,6305.0
01003,2019,76419.0,2926328541.0,38293.0,,6471.0
01003,2020,73087.0,3023837650.0,41373.0,70.0,6686.0
01003,2021,76546.0,3373892203.0,44077.0,78.0,7172.0
01003,2022,79972.0,3760240355.0,47019.0,97.0,7766.0
01003,2023,82764.0,4041941423.0,48837.0,98.0,8302.0
01003,2024,85118.0,4354332805.0,51157.0,99.0,8757.0
01031,2010,14686.0,430453146.0,29310.0,,1053.0
01031,2011,14441.0,433665785.0,30031.0,,1016.0
01031,2012,14623.0,448423311.0,30665.0,,1018.0
01031,2013,14737.0,458270928.0,31096.0,,1024.0
01031,2014,14781.0,471479799.0,31898.0,,1030.0
01031,2015,15210.0,496093021.0,32616.0,,1050.0
01031,2016,15300.0,507599957.0,33176.0,,1074.0
01031,2017,15673.0,529870519.0,33809.0,,1086.0
01031,2018,15881.0,550362545.0,34655.0,,1075.0
01031,2019,16404.0,580699831.0,35400.0,,1071.0
01031,2020,15899.0,604992536.0,38052.0,4.0,1070.0
01031,2021,16430.0,662813138.0,40342.0,6.0,1145.0
01031,2022,16566.0,713509771.0,43070.0,5.0,1235.0
01031,2023,16894.0,750943841.0,44451.0,6.0,1331.0
01031,2024,17365.0,805938263.0,46411.0,9.0,1372.0
01033,2010,21417.0,830071965.0,38757.0,,1340.0
01033,2011,21551.0,856174502.0,39728.0,,1318.0
01033,2012,21820.0,870992305.0,39918.0,,1313.0
01033,2013,22681.0,900226091.0,39690.0,,1290.0
01033,2014,23128.0,952021413.0,41164.0,,1296.0
01033,2015,23680.0,990028961.0,41809.0,,1292.0
01033,2016,23907.0,1009219193.0,42215.0,,1289.0
01033,2017,23797.0,1030438947.0,43301.0,,1290.0
01033,2018,23830.0,1058282175.0,44410.0,,1308.0
01033,2019,24252.0,1092652726.0,45054.0,,1338.0
01033,2020,23145.0,1112498553.0,48066.0,,1372.0
01033,2021,23434.0,1199381889.0,51181.0,,1422.0
01033,2022,24107.0,1329816397.0,55164.0,8.0,1485.0
01033,2023,24177.0,1369613372.0,56650.0,32.0,1542.0
01033,2024,24495.0,1420955338.0,58010.0,21.0,1621.0
01045,2010,18248.0,857125561.0,46972.0,7.0,899.0
01045,2011,18251.0,877515863.0,48082.0,7.0,892.0
01045,2012,17724.0,871063222.0,49145.0,7.0,880.0
01045,2013,16941.0,840606029.0,49619.0,7.0,870.0
01045,2014,16677.0,833294973.0,49966.0,7.0,867.0
01045,2015,16470.0,836741854.0,50804.0,6.0,869.0
01045,2016,16795.0,883749071.0,52621.0,7.0,870.0
01045,2017,16797.0,897823036.0,53450.0,7.0,873.0
01045,2018,16978.0,912765700.0,53763.0,7.0,868.0
01045,2019,17230.0,933635951.0,54186.0,6.0,876.0
01045,2020,16925.0,967952791.0,57192.0,6.0,891.0
01045,2021,17324.0,1009161774.0,58252.0,6.0,937.0
01045,2022,17619.0,1055140021.0,59885.0,6.0,1013.0
01045,2023,17991.0,1134992556.0,63088.0,13.0,1101.0
